SCORES angle_constraint atom_pair_constraint chainbreak coordinate_constraint dihedral_constraint dslf_ca_dih dslf_cs_ang dslf_ss_dih dslf_ss_dst fa_atr fa_dun fa_intra_rep fa_pair fa_rep fa_sol frac_atoms_within_0.5 frac_atoms_within_1.0 frac_atoms_within_2.0 hack_elec hbond_bb_sc hbond_lr_bb hbond_sc hbond_sr_bb if_angle_constraint if_atom_pair_constraint if_chainbreak if_coordinate_constraint if_dihedral_constraint if_dslf_ca_dih if_dslf_cs_ang if_dslf_ss_dih if_dslf_ss_dst if_fa_atr if_fa_dun if_fa_intra_rep if_fa_pair if_fa_rep if_fa_sol if_hack_elec if_hbond_bb_sc if_hbond_lr_bb if_hbond_sc if_hbond_sr_bb if_omega if_p_aa_pp if_pro_close if_ref interface_delta ligand_auto_rms_no_super ligand_auto_rms_with_super ligand_centroid_travel ligand_is_touching omega p_aa_pp pro_close ref total_score
hNN_1sjw_d2n_des_1_0001 0 0 0 0 0.0291077 0 0 0 0 -545.967 67.393 1.32377 -18.3516 59.0293 259.737 0 0 0.0769231 -17.712 -29.6415 -95.2717 -19.5542 -118.759 0 -41.5518 0 0 0 0 0 0 0 -13.7122 0 0 0.107833 2.67735 8.8406 -0.096596 -0.174749 0 -0.139508 -2.84217e-14 0 0 0 0 -44.0492 8.77923 1.59682 3.68606 1 20.6388 -26.0635 11.4476 -34.86 -486.581
hNN_1sjw_d2n_des_1_0002 0 0 0 0 0.0995215 0 0 0 0 -542.314 69.8192 1.37533 -17.6805 56.8791 253.97 0 0 0 -17.1791 -28.5645 -95.2717 -19.3222 -118.759 0 -41.7834 0 0 0 0 0 0 0 -14.0112 0 0 0.0500702 3.40008 10.1965 -0.541855 -0.123383 1.42109e-14 -2.8474 1.42109e-14 0 0 0 0 -45.6606 9.2544 1.89423 5.87555 1 20.6388 -26.0635 6.05401 -34.86 -491.177
hNN_1sjw_d2n_des_1_0003 0 0 0 0 2.29551 0 0 0 0 -540.307 68.5187 1.33252 -18.7219 57.1906 250.249 0 0.0384615 0.0769231 -17.0702 -26.1449 -95.2717 -15.91 -118.759 0 -41.4702 0 0 0 0 0 0 0 -17.0877 0 0 0.0768202 5.37024 10.1254 -0.931454 -0.205816 4.12115e-13 -1.11412 7.10543e-14 0 0 0 0 -45.2369 7.99746 2.1534 2.10771 1 20.6388 -26.0635 6.05244 -34.86 -486.83
hNN_1sjw_d2n_des_1_0004 0 0 0 0 5.3883 0 0 0 0 -549.555 70.5182 1.254 -20.104 68.4411 261.066 0 0.0384615 0.0769231 -17.9527 -31.0848 -95.2717 -17.5948 -118.759 0 -41.1126 0 0 0 0 0 0 0 -20.8983 0 0 0.0803544 15.6857 13.0451 -0.353543 -0.320865 1.42109e-14 -0.107157 1.42109e-14 0 0 0 0 -33.9814 8.11875 2.18605 0.795746 1 20.6388 -26.0635 6.05089 -34.86 -477.888
hNN_1sjw_d2n_des_1_0005 0 0 0 0 0.0381163 0 0 0 0 -544.213 71.6234 1.29009 -18.192 65.5301 253.428 0 0 0.0384615 -17.0872 -26.5363 -95.2717 -12.9618 -118.759 0 -41.2514 0 0 0 0 0 0 0 -16.193 0 0 0.048012 3.99687 10.6603 -1.03471 -0.24532 0 -1.82969 -2.84217e-14 0 0 0 0 -45.8489 7.63812 1.21509 2.76456 1 20.6388 -26.0635 6.05249 -34.86 -475.343
hNN_1sjw_d2n_des_1_0006 0 0 0 0 0.237005 0 0 0 0 -546.54 73.5884 1.31529 -18.3905 56.9066 253.418 0 0.115385 0.384615 -18.8335 -30.5975 -95.2717 -21.8873 -118.759 0 -41.057 0 0 0 0 0 0 0 -16.8168 0 0 -0.0563301 1.87511 7.53532 -0.659718 -0.399153 4.12115e-13 -2.7215 7.10543e-14 0 0 0 0 -52.3001 3.61045 0.454134 0.7484 1 20.6388 -26.0635 6.05151 -34.86 -499.047
hNN_1sjw_d2n_des_1_0007 0 0 0 0 0.0339092 0 0 0 0 -545.184 67.4117 1.30507 -18.2788 56.7545 250.522 0 0 0.0769231 -16.8168 -26.3636 -95.2717 -15.9927 -118.759 0 -41.2485 0 0 0 0 0 0 0 -19.5779 0 0 -0.00271109 4.50642 8.24563 -0.285625 -0.0535321 0 -1.117 -2.84217e-14 0 0 0 0 -49.5332 3.5252 1.99845 2.46143 1 20.6388 -26.0635 6.0512 -34.86 -494.872
hNN_1sjw_d2n_des_1_0008 0 0 0 0 0.472596 0 0 0 0 -542.853 68.7791 1.34673 -19.2998 57.5911 253.221 0 0.153846 0.269231 -16.9651 -29.915 -95.2717 -17.0605 -118.759 0 -41.1139 0 0 0 0 0 0 0 -17.7774 0 0 0.0714757 4.04499 7.62517 -0.203614 -0.229234 0 -2.21901 -2.84217e-14 0 0 0 0 -49.8015 4.03804 1.10704 0.455907 1 20.6388 -26.0635 6.05143 -34.86 -492.946
hNN_1sjw_d2n_des_1_0009 0 0 0 0 2.02768 0 0 0 0 -538.842 68.0449 1.30985 -18.6868 59.198 250.891 0 0 0.115385 -16.5116 -26.8463 -95.2717 -15.2837 -118.759 0 -41.0823 0 0 0 0 0 0 0 -16.2053 0 0 0.102091 5.52829 8.92364 -0.241007 -0.311937 0 -1.54268 -2.84217e-14 0 0 0 0 -44.8292 7.70682 1.14383 1.43045 1 20.6388 -26.0635 6.05217 -34.86 -482.962
hNN_1sjw_d2n_des_1_0010 0 0 0 0 4.80235 0 0 0 0 -550.411 70.9098 1.30807 -19.1599 70.4262 257.039 0 0 0.0384615 -17.3498 -28.3667 -95.2717 -17.1722 -118.759 0 -41.2077 0 0 0 0 0 0 0 -21.1441 0 0 0.0576334 10.7678 10.8367 -0.0743322 -0.308072 5.68434e-14 -0.12276 1.27898e-13 0 0 0 0 -41.1948 7.23944 1.85096 2.9725 1 20.6388 -26.0635 6.05216 -34.86 -476.237
hNN_1sjw_d2n_des_1_0011 0 0 0 0 0.00620773 0 0 0 0 -534.142 67.5385 1.3371 -17.6374 53.3976 248.655 0 0 0 -16.0206 -27.2549 -95.2717 -15.1592 -118.759 0 -41.672 0 0 0 0 0 0 0 -10.8842 0 0 0.0444038 0.758421 5.14256 0.0719044 -0.183122 0 -0.256261 -2.84217e-14 0 0 0 0 -46.9782 7.46773 1.87929 5.21263 1 20.6388 -26.0635 6.05305 -34.86 -487.542
hNN_1sjw_d2n_des_1_0012 0 0 0 0 0.424618 0 0 0 0 -545.816 72.7514 1.36707 -18.133 60.3643 256.163 0 0 0 -16.1264 -27.6083 -95.2717 -15.1207 -118.759 0 -41.1755 0 0 0 0 0 0 0 -14.8803 0 0 0.0772573 2.06536 7.7394 -0.142465 -0.12489 1.42109e-14 -0.0555364 1.42109e-14 0 0 0 0 -46.4968 5.10565 1.9869 3.31243 1 20.6388 -26.0635 7.72461 -34.86 -478.324
hNN_1sjw_d2n_des_1_0013 0 0 0 0 1.53051 0 0 0 0 -537.844 68.4482 1.43759 -17.9807 54.7308 249.327 0 0.0384615 0.192308 -16.6084 -27.2065 -95.2717 -15.0912 -118.759 0 -41.192 0 0 0 0 0 0 0 -15.0753 0 0 0.0354585 4.58614 6.55053 -0.452286 -1.53783 0 -0.114471 -2.84217e-14 0 0 0 0 -47.1997 6.70084 1.83293 3.77462 1 20.6388 -26.0635 6.05087 -34.86 -487.521
hNN_1sjw_d2n_des_1_0014 0 0 0 0 0.0183825 0 0 0 0 -543.787 70.0465 1.50922 -18.1969 83.0932 252.205 0.0384615 0.115385 0.5 -16.8098 -26.7742 -95.2717 -17.5673 -118.759 0 -41.011 0 0 0 0 0 0 0 -15.0365 0 0 0.127739 1.85789 7.4514 -0.907297 -0.310849 5.68434e-14 -5.47314 1.27898e-13 0 0 0 0 -53.3018 3.44621 1.99069 0.987741 1 20.6388 -26.0635 11.4476 -34.86 -459.13
